"Année de naissance";"Sexe";"Age";"Quotient de mortalité par âge x (Qx)"
"1900";"Femme";"65 ans";0.015315
"1900";"Femme";"66 ans";0.016543
"1900";"Femme";"67 ans";0.018838
"1900";"Femme";"68 ans";0.018335
"1900";"Femme";"69 ans";0.024214
"1900";"Femme";"70 ans";0.025104
"1900";"Femme";"71 ans";0.026460
"1900";"Femme";"72 ans";0.030116
"1900";"Femme";"73 ans";0.031934
"1900";"Femme";"74 ans";0.035060
"1900";"Femme";"75 ans";0.037308
"1900";"Femme";"76 ans";0.040181
"1900";"Femme";"77 ans";0.043053
"1900";"Femme";"78 ans";0.048507
"1900";"Femme";"79 ans";0.054572
"1900";"Femme";"80 ans";0.061249
"1900";"Femme";"81 ans";0.069912
"1900";"Femme";"82 ans";0.076179
"1900";"Femme";"83 ans";0.082839
"1900";"Femme";"84 ans";0.093690
"1900";"Femme";"85 ans";0.100037
"1900";"Femme";"86 ans";0.105297
"1900";"Femme";"87 ans";0.115220
"1900";"Femme";"88 ans";0.130564
"1900";"Femme";"89 ans";0.154708
"1900";"Femme";"90 ans";0.162887
"1900";"Femme";"91 ans";0.175785
"1900";"Femme";"92 ans";0.206939
"1900";"Femme";"93 ans";0.223452
"1900";"Femme";"94 ans";0.230471
"1900";"Femme";"95 ans";0.255417
"1900";"Femme";"96 ans";0.283985
"1900";"Femme";"97 ans";0.301313
"1900";"Femme";"98 ans";0.298574
"1900";"Femme";"99 ans";0.310800
"1900";"Femme";"100 ans";0.324254
"1900";"Femme";"101 ans";0.407895
"1900";"Femme";"102 ans";0.392593
"1900";"Femme";"103 ans";0.500000
"1900";"Femme";"104 ans";0.487805
"1900";"Femme";"105 ans";0.333333
"1900";"Femme";"106 ans";0.571429
"1900";"Femme";"107 ans";0.333333
"1900";"Femme";"108 ans";0.250000
"1900";"Femme";"109 ans";0.666667
"1900";"Femme";"110 ans";0.000000
"1900";"Femme";"111 ans";1.000000
"1900";"Femme";"112 ans";1.000000
"1900";"Femme";"113 ans";1.000000
"1900";"Femme";"114 ans";1.000000
"1900";"Femme";"115 ans";1.000000
"1900";"Femme";"116 ans";1.000000
"1900";"Femme";"117 ans";1.000000
"1900";"Femme";"118 ans";1.000000
"1900";"Femme";"119 ans";1.000000
"1900";"Femme";"120 ans";1.000000
"1901";"Femme";"65 ans";0.016209
"1901";"Femme";"66 ans";0.015867
"1901";"Femme";"67 ans";0.017327
"1901";"Femme";"68 ans";0.021580
"1901";"Femme";"69 ans";0.021732
"1901";"Femme";"70 ans";0.023943
"1901";"Femme";"71 ans";0.026465
"1901";"Femme";"72 ans";0.029132
"1901";"Femme";"73 ans";0.030309
"1901";"Femme";"74 ans";0.032102
"1901";"Femme";"75 ans";0.035868
"1901";"Femme";"76 ans";0.037986
"1901";"Femme";"77 ans";0.044643
"1901";"Femme";"78 ans";0.048623
"1901";"Femme";"79 ans";0.057286
"1901";"Femme";"80 ans";0.061411
"1901";"Femme";"81 ans";0.071660
"1901";"Femme";"82 ans";0.073781
"1901";"Femme";"83 ans";0.083032
"1901";"Femme";"84 ans";0.094132
"1901";"Femme";"85 ans";0.098793
"1901";"Femme";"86 ans";0.104952
"1901";"Femme";"87 ans";0.113092
"1901";"Femme";"88 ans";0.145009
"1901";"Femme";"89 ans";0.152228
"1901";"Femme";"90 ans";0.159473
"1901";"Femme";"91 ans";0.171938
"1901";"Femme";"92 ans";0.203343
"1901";"Femme";"93 ans";0.202903
"1901";"Femme";"94 ans";0.235966
"1901";"Femme";"95 ans";0.246961
"1901";"Femme";"96 ans";0.291310
"1901";"Femme";"97 ans";0.298496
"1901";"Femme";"98 ans";0.316522
"1901";"Femme";"99 ans";0.326798
"1901";"Femme";"100 ans";0.378830
"1901";"Femme";"101 ans";0.354260
"1901";"Femme";"102 ans";0.430556
"1901";"Femme";"103 ans";0.451220
"1901";"Femme";"104 ans";0.422222
"1901";"Femme";"105 ans";0.461538
"1901";"Femme";"106 ans";0.428571
"1901";"Femme";"107 ans";0.875000
"1901";"Femme";"108 ans";1.000000
"1901";"Femme";"109 ans";1.000000
"1901";"Femme";"110 ans";1.000000
"1901";"Femme";"111 ans";1.000000
"1901";"Femme";"112 ans";1.000000
"1901";"Femme";"113 ans";1.000000
"1901";"Femme";"114 ans";1.000000
"1901";"Femme";"115 ans";1.000000
"1901";"Femme";"116 ans";1.000000
"1901";"Femme";"117 ans";1.000000
"1901";"Femme";"118 ans";1.000000
"1901";"Femme";"119 ans";1.000000
"1901";"Femme";"120 ans";1.000000
"1902";"Femme";"65 ans";0.014282
"1902";"Femme";"66 ans";0.016554
"1902";"Femme";"67 ans";0.019161
"1902";"Femme";"68 ans";0.019492
"1902";"Femme";"69 ans";0.020989
"1902";"Femme";"70 ans";0.023261
"1902";"Femme";"71 ans";0.024306
"1902";"Femme";"72 ans";0.026016
"1902";"Femme";"73 ans";0.029765
"1902";"Femme";"74 ans";0.032447
"1902";"Femme";"75 ans";0.036420
"1902";"Femme";"76 ans";0.039507
"1902";"Femme";"77 ans";0.044207
"1902";"Femme";"78 ans";0.049878
"1902";"Femme";"79 ans";0.054108
"1902";"Femme";"80 ans";0.060280
"1902";"Femme";"81 ans";0.062049
"1902";"Femme";"82 ans";0.071736
"1902";"Femme";"83 ans";0.078537
"1902";"Femme";"84 ans";0.082701
"1902";"Femme";"85 ans";0.089947
"1902";"Femme";"86 ans";0.105450
"1902";"Femme";"87 ans";0.128982
"1902";"Femme";"88 ans";0.136490
"1902";"Femme";"89 ans";0.141548
"1902";"Femme";"90 ans";0.159188
"1902";"Femme";"91 ans";0.177759
"1902";"Femme";"92 ans";0.195928
"1902";"Femme";"93 ans";0.213894
"1902";"Femme";"94 ans";0.238862
"1902";"Femme";"95 ans";0.252824
"1902";"Femme";"96 ans";0.266493
"1902";"Femme";"97 ans";0.276324
"1902";"Femme";"98 ans";0.300397
"1902";"Femme";"99 ans";0.332792
"1902";"Femme";"100 ans";0.360097
"1902";"Femme";"101 ans";0.361217
"1902";"Femme";"102 ans";0.357450
"1902";"Femme";"103 ans";0.513491
"1902";"Femme";"104 ans";0.480769
"1902";"Femme";"105 ans";0.444444
"1902";"Femme";"106 ans";0.533333
"1902";"Femme";"107 ans";0.571429
"1902";"Femme";"108 ans";0.666667
"1902";"Femme";"109 ans";0.000000
"1902";"Femme";"110 ans";0.000000
"1902";"Femme";"111 ans";0.000000
"1902";"Femme";"112 ans";1.000000
"1902";"Femme";"113 ans";1.000000
"1902";"Femme";"114 ans";1.000000
"1902";"Femme";"115 ans";1.000000
"1902";"Femme";"116 ans";1.000000
"1902";"Femme";"117 ans";1.000000
"1902";"Femme";"118 ans";1.000000
"1902";"Femme";"119 ans";1.000000
"1902";"Femme";"120 ans";1.000000
"1903";"Femme";"65 ans";0.015824
"1903";"Femme";"66 ans";0.018190
"1903";"Femme";"67 ans";0.015705
"1903";"Femme";"68 ans";0.018505
"1903";"Femme";"69 ans";0.020525
"1903";"Femme";"70 ans";0.020972
"1903";"Femme";"71 ans";0.024471
"1903";"Femme";"72 ans";0.026371
"1903";"Femme";"73 ans";0.026492
"1903";"Femme";"74 ans";0.032646
"1903";"Femme";"75 ans";0.033438
"1903";"Femme";"76 ans";0.040901
"1903";"Femme";"77 ans";0.043087
"1903";"Femme";"78 ans";0.048227
"1903";"Femme";"79 ans";0.054475
"1903";"Femme";"80 ans";0.055617
"1903";"Femme";"81 ans";0.063821
"1903";"Femme";"82 ans";0.076401
"1903";"Femme";"83 ans";0.077372
"1903";"Femme";"84 ans";0.083284
"1903";"Femme";"85 ans";0.089132
"1903";"Femme";"86 ans";0.109335
"1903";"Femme";"87 ans";0.120858
"1903";"Femme";"88 ans";0.132350
"1903";"Femme";"89 ans";0.148074
"1903";"Femme";"90 ans";0.160191
"1903";"Femme";"91 ans";0.174248
"1903";"Femme";"92 ans";0.205492
"1903";"Femme";"93 ans";0.220419
"1903";"Femme";"94 ans";0.229953
"1903";"Femme";"95 ans";0.258625
"1903";"Femme";"96 ans";0.288096
"1903";"Femme";"97 ans";0.282908
"1903";"Femme";"98 ans";0.327546
"1903";"Femme";"99 ans";0.314974
"1903";"Femme";"100 ans";0.376884
"1903";"Femme";"101 ans";0.419637
"1903";"Femme";"102 ans";0.418848
"1903";"Femme";"103 ans";0.345734
"1903";"Femme";"104 ans";0.472727
"1903";"Femme";"105 ans";0.551724
"1903";"Femme";"106 ans";0.230769
"1903";"Femme";"107 ans";0.490909
"1903";"Femme";"108 ans";0.695652
"1903";"Femme";"109 ans";0.000000
"1903";"Femme";"110 ans";1.000000
"1903";"Femme";"111 ans";1.000000
"1903";"Femme";"112 ans";1.000000
"1903";"Femme";"113 ans";1.000000
"1903";"Femme";"114 ans";1.000000
"1903";"Femme";"115 ans";1.000000
"1903";"Femme";"116 ans";1.000000
"1903";"Femme";"117 ans";1.000000
"1903";"Femme";"118 ans";1.000000
"1903";"Femme";"119 ans";1.000000
"1903";"Femme";"120 ans";1.000000
"1904";"Femme";"65 ans";0.014057
"1904";"Femme";"66 ans";0.014477
"1904";"Femme";"67 ans";0.017908
"1904";"Femme";"68 ans";0.017526
"1904";"Femme";"69 ans";0.020066
"1904";"Femme";"70 ans";0.019565
"1904";"Femme";"71 ans";0.022330
"1904";"Femme";"72 ans";0.024161
"1904";"Femme";"73 ans";0.027291
"1904";"Femme";"74 ans";0.029945
"1904";"Femme";"75 ans";0.034467
"1904";"Femme";"76 ans";0.039028
"1904";"Femme";"77 ans";0.044309
"1904";"Femme";"78 ans";0.045470
"1904";"Femme";"79 ans";0.051368
"1904";"Femme";"80 ans";0.052936
"1904";"Femme";"81 ans";0.062448
"1904";"Femme";"82 ans";0.063716
"1904";"Femme";"83 ans";0.076093
"1904";"Femme";"84 ans";0.082705
"1904";"Femme";"85 ans";0.098724
"1904";"Femme";"86 ans";0.104377
"1904";"Femme";"87 ans";0.113216
"1904";"Femme";"88 ans";0.127840
"1904";"Femme";"89 ans";0.137404
"1904";"Femme";"90 ans";0.161563
"1904";"Femme";"91 ans";0.179052
"1904";"Femme";"92 ans";0.203544
"1904";"Femme";"93 ans";0.222933
"1904";"Femme";"94 ans";0.251160
